Mã,Tên trường,Địa chỉ,Website,Tỉnh thành,Đơn vị chủ quản
QHQ,Khoa Quốc tế - Đại học Quốc gia Hà Nội,"144 Xuân Thủy, Cầu Giấy, Hà Nội",www.is.vnu.edu.vn,Hà Nội,Đại Học Quốc Gia Hà Nội
QHT,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội,"334 đường Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",hus.vnu.edu.vn,Hà Nội,Đại Học Quốc Gia Hà Nội
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",www.uit.edu.vn,TP. Hồ Chí Minh,Đại Học Quốc Gia TP. Hồ Chí Minh
QSQ,Trường Đại học Quốc tế - Đại học Quốc gia TP.HCM,"Khu phố 6, P.Linh Trung, Q. Thủ Đức, TP.HCM",www.hcmiu.edu.vn,TP. Hồ Chí Minh,Đại Học Quốc Gia TP. Hồ Chí Minh
QST,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia TP.HCM,"227 Đường Nguyễn Văn Cừ, Phường 4, Quận 5, Hồ Chí Minh",tuyensinh.hcmus.edu.vn,TP. Hồ Chí Minh,Đại Học Quốc Gia TP. Hồ Chí Minh
SDU,Trường Đại học Sao Đỏ,"Số 24, Phố Thái Học 2, Phường Sao Đỏ, Thị xã Chí Linh, Hải Dương",saodo.edu.vn,Hải Dương,Bộ Công Thương
SGD,Trường Đại học Sài Gòn,"273 An Dương Vương, Phường 3, Quận 5, TP. Hồ Chí Minh",www.sgu.edu.vn,TP. Hồ Chí Minh,UBND TP. Hồ Chí Minh
SKH,Trường Đại học Sư phạm Kỹ thuật Hưng Yên,"Xã Dân Tiến, huyện Khoái Châu, Hưng Yên",tuyensinh.utehy.edu.vn,Hưng Yên,Bộ Giáo Dục Và Đào Tạo
SKN,Trường Đại học Sư phạm Kỹ thuật Nam Định,"Đường Phù Nghĩa, Phường Lộc H, Thành Phố Nam Định",www.nute.edu.vn,Nam Định,Bộ Lao Động Thương Binh Và Xã Hội
SKV,Trường Đại học Sư phạm Kỹ thuật Vinh,"Số 117 Đường Nguyễn Viết Xuân, Phường Hưng Dũng, TP. Vinh,  Nghệ An",vuted.edu.vn,Nghệ An,Bộ Lao Động Thương Binh Và Xã Hội
SP2,Trường Đại học Sư phạm Hà Nội 2,"Số 32, đường Nguyễn Văn Linh, phường Xuân Hoà, TP. Phúc Yên, Vĩnh Phúc",hpu2.edu.vn,Vĩnh Phúc,Bộ Giáo Dục Và Đào Tạo
SPD,Trường Đại học Đồng Tháp,"783, Phạm Hữu Lầu, Phường 6, Tp. Cao Lãnh, Đồng Tháp",www.dthu.edu.vn,Đồng Tháp,Bộ Giáo Dục Và Đào Tạo
SPH,Trường Đại học Sư phạm Hà Nội,"Số 136 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",www.hnue.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
SPK,Trường Đại học Sư phạm Kỹ thuật tp. Hồ Chí Minh,"1-3 Võ Văn Ngân, phường Linh Chiểu, Thủ Đức, TP. Hồ Chí Minh",tuyensinh.hcmute.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
SPS,Trường Đại học Sư phạm tp. Hồ Chí Minh,"280 An Dương Vương, Phường 4, Quận 5, TP. Hồ Chí Minh",hcmue.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
TAG,Trường Đại học An Giang,"Số 18 Ung Văn Khiêm, P. Đông Xuyên, TP. Long Xuyên, An Giang",www.agu.edu.vn.,An Giang,UBND Tỉnh An Giang
TBD,Trường Đại học Thái Bình Dương,"Số 79 Mai Thị Dõng, Vĩnh Ngọc, Nha Trang, Khánh Hòa",www.pou.edu.vn,Khánh Hòa,Bộ Giáo Dục Và Đào Tạo
